Date,Not indexed,Indexed,Impressions
2026-01-20,103,64,1970
2026-01-21,103,64,1871
2026-01-22,103,64,2491
2026-01-23,103,64,2078
2026-01-24,103,64,1434
2026-01-25,103,64,1204
2026-01-26,103,64,1136
2026-01-27,103,64,2083
2026-01-28,102,64,1234
2026-01-29,102,64,1790
2026-01-30,102,64,1446
2026-01-31,102,64,1088
2026-02-01,101,64,1077
2026-02-02,101,64,1383
2026-02-03,101,64,1564
2026-02-04,108,57,1188
2026-02-05,108,57,1223
2026-02-06,108,57,895
2026-02-07,108,57,1384
2026-02-08,107,57,911
2026-02-09,107,57,1435
2026-02-10,107,57,1075
2026-02-11,106,57,1189
2026-02-12,106,57,1579
2026-02-13,106,57,1121
2026-02-14,106,57,1002
2026-02-15,106,57,916
2026-02-16,106,57,1219
2026-02-17,106,57,1623
2026-02-18,106,57,2085
2026-02-19,106,57,1782
2026-02-20,106,57,1309
2026-02-21,106,57,1104
2026-02-22,105,57,1038
2026-02-23,105,57,1220
2026-02-24,105,57,2049
2026-02-25,105,57,1648
2026-02-26,105,57,1642
2026-02-27,105,57,930
2026-02-28,105,57,944
2026-03-01,105,57,943
2026-03-02,105,57,1450
2026-03-03,105,57,998
2026-03-04,105,57,1237
2026-03-05,105,57,1330
2026-03-06,105,57,1152
2026-03-07,105,57,1272
2026-03-08,105,57,974
2026-03-09,105,57,1165
2026-03-10,105,57,979
2026-03-11,105,57,1049
2026-03-12,105,57,1137
2026-03-13,105,57,1119
2026-03-14,105,57,1084
2026-03-15,105,57,992
2026-03-16,105,57,1129
2026-03-17,105,57,1102
2026-03-18,105,57,1037
2026-03-19,105,57,1096
2026-03-20,105,57,1246
2026-03-21,105,57,1216
2026-03-22,104,59,1086
2026-03-23,104,59,1143
2026-03-24,104,59,1513
2026-03-25,110,65,1202
2026-03-26,110,65,1193
2026-03-27,110,65,1032
2026-03-28,110,65,893
2026-03-29,104,104,928
2026-03-30,104,104,1229
2026-03-31,104,104,1014
2026-04-01,327,127,999
2026-04-02,327,127,984
2026-04-03,327,127,3070
2026-04-04,327,127,1138
2026-04-05,312,141,807
2026-04-06,312,141,1101
2026-04-07,312,144,1111
2026-04-08,312,144,1252
2026-04-09,312,144,1167
2026-04-10,312,144,1046
2026-04-11,309,146,1041
2026-04-12,309,146,949
2026-04-13,309,146,1498
2026-04-14,305,147,1083
2026-04-15,305,147,991
2026-04-16,305,147,932
2026-04-17,305,147,1341
