KATEGÓRIA	FAKTOR	POPIS 
		
On-page faktor	Titulky stránky	V titulku by malo byť obsiahnuté kľúčové slovo, na ktoré chceme aby sa stránka zobrazovala. Toto kľúčové slovo by malo byť ideálne na začiatku vety, za predpokladu, že nepokazí kontextovú správnosť celého titulku. Korektný titulok je súčasťou faktorov, ktoré Google berie do úvahy, dokonca správne napísaný titulok vie zvýšiť samotnú mieru prekliku zo SERP-u (vyhľadávania Google) na Vašu webstránku. Správne by mal mať titulok formu krátkej vety, nie dlhšej ako 600px, čo predstavuje približne dĺžku do 75 znakov. Overenie správnej dĺžky titulku je možné na: https://moz.com/learn/seo/title-tag
On-page faktor	Popisky stránky (Meta Descriptions)	Tento popis sa zobrazuje vo výsledkoch vyhľadávania pod titulkom stránky. Popisy stránky sa nerátajú medzi priame SEO faktory, ale pokiaľ sú vyplnené správne a originálne, tak vedia zvýšiť mieru prekliku z vyhľadávania Google na Váš web. Správne by mali meta popisy obsahovať popis danej podstránky, kľúčové slovo, na ktoré chceme aby sa podstránka zobrazovala a relevantné informácie k tomu, čo človek môže na danej podstránke nájsť. Správne by mal byť titulok dlhý do 160 znakov. Po novom update Google až do 300 znakov, avšak z vlastnej skúsenosti odporúčame používať pôvodnú stanovenú dĺžku do 160 znakov.
On-page faktor	Úrovne nadpisov stránky	Úrovne nadpisov stránky predstavujú rozloženie nadpisov H1 a H2 na stránke. Je podstatné, aby sa na každej podstránke nachádzal práve jeden nadpis úrovne H1 (malo by ísť o najdôležitejší, najväčší a najvýraznejší nadpis na stránke), ktorý je nasledovaný nadpisom/mi úrovne H2 (h3, h4, h5, ...). Pri tomto riešení nám ide hlavne o prehľadnosť celého webu a pomoc návštevníkovi pri orientácii. Používanie nadpisov na stránke je dôležité kvôli segmentácií textu a dodržiavanie jeho logickej štruktúry. Správne rozloženie je také, pri ktorom sa návštevník stránky dokáže pre-scrollovať textom a mať prehľad čo na danej stránke nájde a či má pre neho zmysel čítať zostatok textu.  Je logické, že najdôležitejší nadpis na stránke by mal byť len jeden a zákazník by mal byť schopný ho bez problémov nájsť, nakoľko mu má podať základné info o danej stránke. 
On-page faktor	Interné prelinkovanie	Interné alebo vnútorné prelinkovanie má za úlohu prepojiť jednotlivé časti celého webu, tak aby sme návštevníkovi uľahčili pohyb a orientáciu na webe. Vnútorné prelinkovanie sa používa v prípade, že chceme zákazníkovi poskytnúť dodatočné informácie k službe alebo článku, ktorý si práve číta, ale tieto informácie sa nachádzajú niekde inde na webe. Správne prelinkovanie stránky nielen zvyšuje celkový ranking stránky ale aj metriky webu, čižte nepriamo napomáha lepšej pozícií v SERPe a vzhľadu webu v očiach Google.
On-page faktor	Broken links	Broken links sú interné odkazy alebo odkazy smerujúce na iný web, ktoré sa nachádzajú na Vašom webe a po kliknutí na anchor text/ CTA tlačidlo sa dostanete na nefunkčnú stránku. Napríklad máte na webe tlačidlo "Chcem vedieť viac" a po kliknutí naň sa používateľ dostane na nefunkčnú stránku. Takéto nefunkčné odkazy treba z webu buď úplne vymazať alebo presmerovať tlačidlo na funkčnú stránku. 
On-page faktor	Súbor Robots.txt	Súbor Robots.txt napomáha robotom (crawlerom), ktorý prídu na web pri indexácií webu samotného. Vieme do neho vkladať tagy, podľa ktorých by sa mal Googlebot (a iní) riadiť pri prechádzaní a indexovaní obsahu webu.
On-page faktor	Súbor Sitemap.xml	Tento súbor značne napomáha robotom (crawlerom) pri orientácií sa na stránke, tým pádom zjednodušuje celý proces indexácie webu. Je potrebné ho pridať na web, a odkaz naň umiestniť do súboru robots.txt s medzerou za posledným riadkom v znení: Sitemap: www.example.sk/sitemap_index.xml
On-page faktor	Meta tag Robots	Súbor Robots.txt predstavuje skôr odporúčanie pre robota či má alebo nemá stránku indexovať. Aby sme však Google botov naisto vedeli povedať, že danú stránku môže určite indexovať, je potrebné vložiť do hlavičky webu meta tag pre robotov. 
On-page faktor	Canonical tag	Tento tag je vhodné používať aby sme Google-u priblížili, ktoré stránky chceme skutočne indexovať a prenášať na ne všetkú hodnotu. Často sa tento tag používa v prípade, že na webe vznikáju duplikátne podstránky. V tom prípade vieme Google-u povedať, ktoré stránky by mal hodnotiť ako originál a primárne ich zobrazovať vo vyhľadávaní čo najvyššie. Tento tag sa využíva na 2 účely. 1- odkazuje sám na seba, aby špecifikoval Googlu, ktorá stránka je originál a primárna. 2- ak sa na stránke nachádzajú duplicity a chceme ukázať Googlu, ktorá zo stránok je originálna a chceme ju indexovať a pridať jej všetkú hodnotu
On-page faktor	Hreflang tag	V prípade, že web má viacero jazykových mutácií je potrebné, aby ich Google vedel od seba odlíšiť, resp. musíme mu povedať, že sa jedná o ten istý web v inom jazyku. Týmto vieme zabrániť nechcenému zobrazovaniu sa v iných jazykoch, a teda zvýšiť pravdepodobnosť zacielenia na správny trh. Na takéto odlíšenie sa používajú hreflang tagy, ktoré sú implementované v hlavičke webu.
On-page faktor	Rýchlosť načítania stránky	Rýchlosť načítania stránky je jedným z faktorov, ktoré Google neustále posúva do popredia. V tejto dobe je takmer nemožné sa presadiť s pomalým webom, nielen v očiach Google ale aj z pohľadu jeho návštevníkov. Mať rýchly web je základom pri optimalizácii webovej stránky. Rýchlosť načítania stránky sa nerieši už len na desktopovej verzii webu, ale aj na tej mobilnej a nakoľko Google zavádza mobile-first index. Tento update Google má za následok napríklad fakt, že dôležitosť responzivity a rýchlosti načítania mobilnej verzie prekonáva tú desktopovú.
On-page faktor	Core web vitals	"Core web vitatals sú metriky, na základe ktorých Google hodnotí Vašu stránku z pohľadu používateľského zážitku z danej webovej stránky. Medzi parametre Core web vitals patrí 
LCP - Udáva, ako dlho trvalá vykreslenie najväčšieho obsahového prvku viditeľného vo viewporte.
FID - Doba od prvej interakcie užívateľa so stránkou (napr. kliknutie na odkaz, kliknutie na tlačidlo a pod.) do okamihu, keď prehliadač na danú interakciu reaguje.
CLS - Kumulatívny posun layoutu. Metrika, ktorá popisuje vizuálnu stabilitu layoutu počas vykresľovania."
On-page faktor	Responzívnosť webu	Responzívnosť webu predstavuje schopnosť webovej stránky zobraziť sa správne na viacerých zariadeniach (desktop, tablet, mobil, ...). Mať responzívnu stránku je dôležitým začiatkom každej optimalizácie webu. Responzívnosť stránky sme testovali manuálne, ale aj oficiálnym testom od Google. 
On-page faktor	SSL certifikácia	Prítomnosť tohto certifikátu na webe je súčasťou jej zabezpečenia. Google chce totiž docieliť bezpečnosť internetu, a preto v tejto snahe podporu stránky, ktoré po implementácii dostanú označenie "Zabezpečené". Avšak, pokiaľ sa certifikát na stránke ešte nenachádza stránka je označená ako nezabezpečená a v horšom prípade až ako nebezpečná. Toto môže viesť aj k problémom so vstupom na stránku, ako aj rankigu samotnej stránky.
On-page faktor	Kód 404 (Custom 404 stránka)	Stavový kód začínajúci štvorkou je nežiadúci kód. Najčastejším je kód 404 (not found). Na danej URL sa teda nenachádza žiadny obsah. Tieto kódy majú negatívny vplyv na SEO. Odstrániť ich je možné presmerovaním danej URL cez protokol 301. Aj napriek tomu, že sa 404kám snažíme vyhnúť, mala by byť pre každý prípad na stránke custom 404 stránka s presmerovaním na príslušnú kategóriu.
On-page faktor	Štrukturované dáta	Štruktúrované dáta sú kódy, ktoré sú implementované na webovú stránku, aby Google lepšie pochopil, čo sa na webovej stránke nachádza (napríklad obrázok, autor článku, dĺžka článku, miesto eventu atď.) Výsledkom implementovania štrukturovaných dát sú rich snippety (rozšírenia vyhľadávania, ako obrázky, doplnkové info o stránke atď), ktoré sa môžu zobraziť vo výsledoch vyhľadávania a zlepšiť CTR zo SERPu. 
On-page faktor	Crawlovateľnosť	Google bot sa potrebuje dostať na všetky významené podstránky webu. Z toho dôvodu musí byť každá takáto stránka dostupná na niekoľko preklikov z hlavnej stránky.
On-page faktor	URL adresy s / a bez /	URL adresy sa na webe dajú generovať 2 rozdielnymi spôsobmi. Buď sa na konci URL adresy nachádza / alebo sa na konci URL nenachádza /. V podstate je jedno akým spôsobom sa tieto URL generujú, ale je podstatné, aby bola jedna z týchto možností primárna a týmto spôsobom sa URL adresy generovalo naprieč celým webom. Druhý spôsob generovanie musíme potom ošetriť tak, že sa automaticky presmeruje na primárny tvar URL adries. 
		
