"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Indexability","Indexability Status"
"https://www.sofoservis.sk/stahovanie-senica","923","186","4.962","48.272","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-bratislava","1332","251","5.307","46.158","Hard","Indexable",""
"https://www.sofoservis.sk/likvidacia-nebezpecneho-odpadu-starych-spotrebicov","1102","213","5.174","32.844","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-piestany","917","183","5.011","43.712","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-preprava-nabytku","915","181","5.055","49.147","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie","1049","226","4.642","46.957","Hard","Indexable",""
"https://www.sofoservis.sk/hodinovy-manzel-majster","1495","276","5.417","48.152","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-pivnic-garazi-nebytovych-priestorov","1009","191","5.283","47.030","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-levice","901","185","4.870","44.523","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-hlohovec","892","187","4.770","44.459","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-kancelarii-firiem","1196","234","5.111","36.691","Hard","Indexable",""
"https://www.sofoservis.sk/zasady-pouzivania-cookies","1293","235","5.502","42.781","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-bytov-domov","1254","247","5.077","47.459","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-tazkych-bremien","944","187","5.048","44.789","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku","898","194","4.629","40.568","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-komarno","923","187","4.936","49.215","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-bytov-domov","1327","254","5.224","43.616","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-galanta","895","188","4.761","45.186","Hard","Indexable",""
"https://www.sofoservis.sk/buranie-demolacia-domov-bytov","1396","259","5.390","43.436","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-nitra","902","183","4.929","48.577","Hard","Indexable",""
"https://www.sofoservis.sk/zasady-spracovania-osobnych-udajov","1441","276","5.221","44.488","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie","1120","242","4.628","41.549","Hard","Indexable",""
"https://www.sofoservis.sk/cistenie-vypratavanie-pozemkov-nehnutelnosti","1087","214","5.079","47.578","Hard","Indexable",""
"https://www.sofoservis.sk/odvoz-likvidacia-stavebneho-odpadu","1486","272","5.463","36.758","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-pezinok","897","182","4.929","46.591","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-samorin","907","185","4.903","48.982","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-pozostalosti","925","180","5.139","44.400","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-po-rekonstrukcii","708","150","4.720","48.498","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-kancelarii","688","150","4.587","38.021","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-chalupy","804","161","4.994","43.194","Hard","Indexable",""
"https://www.sofoservis.sk/blog/ako-si-vybrat-stahovaciu-firmu-10-kriterii","1000","181","5.525","45.140","Hard","Indexable",""
"https://www.sofoservis.sk/vypratavanie-odvoz-stareho-nabytku/bratislava","564","128","4.406","49.213","Hard","Indexable",""
"https://www.sofoservis.sk/stahovanie-strojov-zariadeni","1092","224","4.875","40.821","Hard","Indexable",""
"https://www.sofoservis.sk/en/privacy-policy","1050","163","6.442","48.500","Hard","Indexable",""
