"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.sofoservis.sk/","text/html; charset=utf-8","200","OK","Indexable","","Sťahovanie, vypratávanie a montáž nábytku | Sofoservis","54","496","Sofoservis – najlepšie hodnotená spoločnosť na sťahovanie, vypratávanie a montáž nábytku. 3 500+ spokojných zákazníkov ✅ Obhliadka zdarma ✅ Férové ceny.","152","1000","sťahovanie, sťahovanie bratislava, sťahovacie služby, vypratávanie, vypratávanie bytov, montáž nábytku, montáž IKEA, montáž kuchyne, sťahovanie bytov, sťahovanie domov, sťahovanie kancelárií, vypratávanie pivníc, odvoz nábytku, sofoservis","238","Sťahovanie, vypratávanie a montáž nábytku – s najlepším hodnotením.","67","Pridajte sa k naším spokojným klientom","38","Prečo si vybrať Sofoservis","26","index, follow","","","https://www.sofoservis.sk/","","","","","","229847","29297","29297","11.223","","757","160","4.731","50.155","Fairly Hard","2.902","0","0","","668","194","0","78.230","65","41","0","10","6","0","","","","","2c8f0efb96fb1d64c362fa09ce07fbad","0.235","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/","2026-03-31 17:08:56"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo4.webp&w=640&q=75","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","37866","37866","37866","14.506","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.318","Fri, 27 Mar 2026 16:58:00 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo4.webp&w=640&q=75","2026-03-31 17:08:56"
"https://www.sofoservis.sk/_next/static/chunks/4198-636afc07516a839e.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.802","Tue, 31 Mar 2026 08:29:00 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/static/chunks/4198-636afc07516a839e.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","2026-03-31 17:08:56"
"https://www.sofoservis.sk/stahovanie-senica","text/html; charset=utf-8","200","OK","Indexable","","Sťahovanie Senica - byty, domy, nábytok a kancelárie","52","467","Profesionálne sťahovacie služby v Senici a okolí. Rýchlo, spoľahlivo a za výhodné ceny. Sťahujeme byty, domy, kancelárie a firmy v Senici a celom Záhorí.","153","934","stahovanie senica, stahovanie bytov senica, stahovacie služby senica, stahovanie firiem senica, preprava nabytku senica, stahovanie zahorie, stahovanie dom senica","162","Sťahovanie Senica: Rýchlo a spoľahlivo.","39","Pridajte sa k naším spokojným klientom","38","Komplexné sťahovacie služby v Senici","36","index, follow","","","https://www.sofoservis.sk/stahovanie-senica","","","","","","242806","29781","29781","11.409","","923","186","4.962","48.272","Hard","3.202","1","0","","6","5","0","2.020","58","27","0","10","6","0","","","","","60898640cdac02d872b51fa2683e28bb","1.139","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/stahovanie-senica","2026-03-31 17:08:56"
"https://www.sofoservis.sk/en","text/html; charset=utf-8","200","OK","Indexable","","Moving & Removal Services Slovakia | Sofoservis","47","435","We offer professional moving services for individuals and businesses ✅ Cheap and fair prices ✅ Free space inspection.","117","732","","0","Professional Moving Services.","29","Join our satisfied customers","28","Comprehensive Moving & Clearance Services","41","index, follow","","","https://www.sofoservis.sk/en","","","","","","193034","24260","24260","9.294","","673","127","5.299","66.071","Normal","2.793","1","0","","453","159","0","64.110","49","26","0","10","6","0","","","","","ba9862137759b4861dd5040a3eb9c7e3","1.171","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/en","2026-03-31 17:08:56"
"https://www.sofoservis.sk/stahovanie-bratislava","text/html; charset=utf-8","200","OK","Indexable","","Sťahovanie Bratislava - byty, domy, nábytok a kancelárie","56","496","Profesionálne sťahovacie služby v Bratislave od 25€/hod. Sťahujeme byty, domy, kancelárie a firmy v každej mestskej časti. Rýchlo a spoľahlivo.","143","885","stahovanie bratislava, stahovanie bytov bratislava, stahovacie služby, stahovanie firiem bratislava, preprava nabytku bratislava","128","Sťahovanie Bratislava: Rýchlo a spoľahlivo.","43","Pridajte sa k naším spokojným klientom","38","Profesionálne sťahovacie služby v Bratislave","44","index, follow","","","https://www.sofoservis.sk/stahovanie-bratislava","","","","","","258495","33464","33464","12.819","","1332","251","5.307","46.158","Hard","4.159","1","0","","34","21","0","8.470","63","33","0","10","6","0","","","","","24d3ca8cfda987e86e0fc08a127b932e","1.292","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/stahovanie-bratislava","2026-03-31 17:08:56"
"https://www.sofoservis.sk/montaz-nabytku","text/html; charset=utf-8","200","OK","Indexable","","Montáž, skladanie a demontáž nábytku | Sofoservis","49","456","Profesionálna montáž a demontáž nábytku. Výjazd od 20€. IKEA, Asko, Jysk a všetky typy nábytku. Rýchlo a spoľahlivo. Kontaktujte nás ešte dnes!","143","910","montáž nábytku, skladanie nábytku, demontáž nábytku, montovanie nábytku, skladanie nábytku ikea, poskladanie nábytku, montáž kuchynskej linky, montáž postele, montáž skrine, montáž komody, montáž nábytku bratislava","214","Montáž, skladanie a demontáž nábytku.","37","Pridajte sa k naším spokojným klientom","38","Ako to funguje?","15","index, follow","","","https://www.sofoservis.sk/montaz-nabytku","","","","","","237759","34488","34488","13.212","","1390","258","5.388","57.181","Fairly Hard","4.700","1","0","","553","151","0","60.890","56","26","0","10","6","0","","","","","519ac9856e7fd7f5e8b5b21e7143a110","1.113","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/montaz-nabytku","2026-03-31 17:08:57"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo6.png&w=640&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","51937","51937","51937","19.896","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.237","Fri, 27 Mar 2026 16:58:00 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo6.png&w=640&q=75","2026-03-31 17:08:58"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fikea-logo.png&w=3840&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","36275","36275","36275","13.896","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.410","Fri, 27 Mar 2026 19:39:10 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fikea-logo.png&w=3840&q=75","2026-03-31 17:08:58"
"https://www.sofoservis.sk/_next/static/chunks/4bd1b696-1269211526118284.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.240","Tue, 31 Mar 2026 09:22:01 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/static/chunks/4bd1b696-1269211526118284.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","2026-03-31 17:08:58"
"https://www.sofoservis.sk/cennik","text/html; charset=utf-8","200","OK","Indexable","","Cenník služieb - Sťahovanie, Vypratávanie, Montáž | Sofoservis","62","556","Transparentné ceny za naše služby. Sťahovanie od 25€/hod, vypratávanie od 25€/hod, montáž nábytku od 20€. Obhliadka zadarmo!","124","821","cenník sťahovanie, ceny sťahovanie, cenník vypratávanie, ceny montáž nábytku, cenník sofoservis, ceny služieb bratislava","120","Cenník našich služieb.","22","Cenník služieb","14","Sledujte nás na Instagrame","26","index, follow","","","https://www.sofoservis.sk/cennik","","","","","","166318","22848","22848","8.753","","613","135","4.541","61.456","Normal","3.340","1","0","","456","151","0","60.890","49","26","0","10","6","0","","","","","843acac313731a628cdd4b66d13bbcd8","1.093","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/cennik","2026-03-31 17:08:57"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2FBratislavaRuzinov.webp&w=3840&q=75","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","50550","50550","50550","19.365","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.239","Fri, 27 Mar 2026 19:36:13 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2FBratislavaRuzinov.webp&w=3840&q=75","2026-03-31 17:08:59"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient3.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1262","1262","1262","0.483","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.695","Fri, 27 Mar 2026 19:32:47 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient3.webp&w=3840&q=75","2026-03-31 17:08:58"
"https://www.sofoservis.sk/likvidacia-nebezpecneho-odpadu-starych-spotrebicov","text/html; charset=utf-8","200","OK","Indexable","","Likvidácia a odvoz nebezpečného odpadu | Sofoservis","51","478","Ponúkame komplexné služby v oblasti likvidácie a odvozu nebezpečného odpadu a starých spotrebičov ✅ Lacné a férové ceny ✅ Kontaktujte nás ešte dnes!","148","963","likvidacia odpadov, likvidacia odpadu, likvidacia nebezpecneho odpadu, odvoz stareho spotrebica, odvoz starých spotrebičov","122","Likvidácia a odvoz nebezpečného odpadu, starých spotrebičov.","60","Pridajte sa k naším spokojným klientom","38","Ako to funguje?","15","index, follow","","","https://www.sofoservis.sk/likvidacia-nebezpecneho-odpadu-starych-spotrebicov","","","","","","236588","32016","32016","12.265","","1102","213","5.174","32.844","Hard","4.081","1","0","","171","151","0","60.890","57","28","0","10","6","0","","","","","9102db151b8ef0e0e426ebc32b9b868e","0.619","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/likvidacia-nebezpecneho-odpadu-starych-spotrebicov","2026-03-31 17:08:58"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo3.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","8976","8976","8976","3.439","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.237","Fri, 27 Mar 2026 19:34:37 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo3.webp&w=3840&q=75","2026-03-31 17:08:59"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo4.webp&w=3840&q=75","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","37866","37866","37866","14.506","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.693","Fri, 27 Mar 2026 19:34:36 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo4.webp&w=3840&q=75","2026-03-31 17:08:59"
"https://www.sofoservis.sk/buranie-stien-priecok","text/html; charset=utf-8","200","OK","Indexable","","Búranie nosných stien, priečok v dome a byte | Sofoservis","57","508","Ponúkame komplexné služby v oblasti búrania nosných stien, priečok v dome alebo byte ✅ Lacné a férové ceny ✅ Kontaktujte nás ešte dnes!","135","869","búranie stien, búranie priečok, búranie nosných stien, búranie stien v byte, búranie steny v dome, vybúranie otvoru v stene, búranie nenosných priečok, búranie sadrokartónových priečok, búranie panelových stien, búranie múru v byte","231","Búranie nosných stien, priečok v dome a byte.","45","Pridajte sa k naším spokojným klientom","38","Ako to funguje?","15","index, follow","","","https://www.sofoservis.sk/buranie-stien-priecok","","","","","","234873","32271","32271","12.362","","1190","221","5.385","54.919","Fairly Hard","4.141","1","0","","159","151","0","60.890","57","28","0","10","6","0","","","","","93f7f84e597d5b9ccd2d619b661dbf7a","1.121","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/buranie-stien-priecok","2026-03-31 17:08:58"
"https://www.sofoservis.sk/stahovanie-sala","text/html; charset=utf-8","200","OK","Indexable","","Sťahovanie Šaľa - byty, domy, nábytok a kancelárie","50","447","Profesionálne sťahovacie služby v Šali a okolí. Rýchlo, spoľahlivo a za výhodné ceny.","85","518","stahovanie sala, stahovanie bytov sala, stahovacie služby sala, stahovanie firiem sala, preprava nabytku sala, stahovanie dom sala","130","Sťahovanie Šaľa: Rýchlo a spoľahlivo.","37","Pridajte sa k naším spokojným klientom","38","Profesionálne sťahovacie služby v Šali","38","index, follow","","","https://www.sofoservis.sk/stahovanie-sala","","","","","","242854","29632","29632","11.351","","893","184","4.853","54.025","Fairly Hard","3.076","1","0","","2","2","0","0.810","58","33","0","10","6","0","","","","","4253adae81f2630c648e4c25d3811360","1.252","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/stahovanie-sala","2026-03-31 17:08:58"
"https://www.sofoservis.sk/images/Reality_EXPO.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.713","Tue, 31 Mar 2026 08:29:13 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/images/Reality_EXPO.svg","2026-03-31 17:08:59"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient9.webp&w=3840&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3303","3303","3303","1.265","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.234","Fri, 27 Mar 2026 19:32:02 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2FsofoClient9.webp&w=3840&q=75","2026-03-31 17:09:00"
"https://www.sofoservis.sk/_next/static/chunks/app/page-5eb5ccd669a89fd3.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","178","178","178","0.068","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.232","Tue, 31 Mar 2026 08:29:01 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/static/chunks/app/page-5eb5ccd669a89fd3.js?dpl=dpl_3GP9ceHiL7vtr5UFShBBKPRvEpiA","2026-03-31 17:09:00"
"https://www.sofoservis.sk/kontakt","text/html; charset=utf-8","200","OK","Indexable","","Kontaktujte nás | Sofoservis - Profesionálne sťahovacie služby","62","553","Kontaktujte Sofoservis pre cenovo výhodné a profesionálne sťahovacie služby v Bratislave a na celom Slovensku. Získajte bezplatnú cenovú ponuku ešte dnes!","154","976","kontakt sofoservis, stahovanie bratislava kontakt, sťahovacie služby kontakt, cenová ponuka sťahovanie, kontakt sťahovacia firma","128","Kontakt.","8","Potrebujete pomôcť? Poradíme vám rýchlo.","40","Kontaktujte nás sme ready!","26","index, follow","","","https://www.sofoservis.sk/kontakt","","","","","","100576","17343","17343","6.644","","386","92","4.196","69.759","Normal","4.089","1","0","","1487","246","0","99.190","41","26","0","10","5","0","","","","","3b4c3a2a1c9a9a1275a66c258873407d","0.705","","","","","sk","1.1","","","","","","https://www.sofoservis.sk/kontakt","2026-03-31 17:09:00"
"https://www.sofoservis.sk/icons/kitchen_icon.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.699","Tue, 31 Mar 2026 09:45:57 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/icons/kitchen_icon.svg","2026-03-31 17:09:00"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-1.png&w=3840&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","446712","446712","446712","171.127","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.697","Fri, 27 Mar 2026 20:03:41 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Freview-avatar-1.png&w=3840&q=75","2026-03-31 17:09:00"
"https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo6.png&w=3840&q=75","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","51937","51937","51937","19.896","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.239","Fri, 27 Mar 2026 17:43:04 GMT","","","","","1.1","","","","","","https://www.sofoservis.sk/_next/image?url=%2Fimages%2Fvideo6.png&w=3840&q=75","2026-03-31 17:09:01"
